188 = "Mettis"						#Metz						|			2129.05.18
1760 = "Chassalla"					#Koblenz					|			2106.06.18

14 = "Fyen"							#Fyn				|				2110.02.22	old Danish ?
44 = "Trewar"						#Hamburg			|unclear		2110.02.22	Latin: Treva	alternative: Trewam?
45 = "Marin"						#Lübeck				|theory			2111.02.22	meaning: "Sea people / famous people?"
47 = "Wertamo"						#Würzburg			|reconstructed	2111.02.22	theory, meaning: "The highest"
53 = "Lewfanja"						#Lüneburg			|unclear		2110.02.22	alternative: Lewfanjam/Lewafanjam?
61 = "Lupfurd"						#Dresden			|unclear		2110.02.22
62 = "Argella"						#Leipzig			|reconstructed	2110.02.22	replace if possible		rough possible translaion: light sounding people/sons
1758 = "Tulifurd" 					#Hannover			|unclear		2110.02.22	alternative:Tuliþurd
1775 = "Holtslatha"					#Holstein			|reconstructed	2110.02.22	
1931 = "Ingwe"						#East Frisia		|unclear/theory	2110.02.22	from:Yngvi/Ingaevones ->	replace if possible
1983 = "Lolanda"					#Lolland			|reconstructed	2110.02.22
4745 = "Rygr"						#Rügen				|theory			2110.02.22	
4774 = "Fuldo"						#Fulda				|unclear		2110.02.22	better alternatives ?
